topic_id;title;description;num_people;required_specializations
1;Прогнозирование спроса на товары с помощью машинного обучения;Разработка моделей для прогнозирования потребительского спроса с использованием регрессионных и временных моделей.;4;Data Science, Machine Learning, Backend
2;Анализ текстовых данных новостных источников;Исследование автоматической классификации и тематического анализа новостных текстов.;3;NLP, Data Science, QA
3;Разработка рекомендательной системы для интернет-магазина;Построение системы рекомендаций на основе поведения пользователей и исторических данных.;5;Data Science, Backend, Frontend
4;Классификация изображений с использованием свёрточных нейронных сетей;Создание модели CNN для распознавания объектов на изображениях.;4;Machine Learning, Computer Vision, Data Engineering
5;Сегментация медицинских изображений;Исследование методов сегментации снимков для медицинских задач (МРТ, КТ).;3;Machine Learning, Биоинформатика, Data Science
6;Обработка естественного языка в финансовых отчетах;Анализ текстов финансовой отчётности с целью извлечения ключевых инсайтов и показателей.;3;NLP, Data Science, Backend
7;Биологический анализ геномных последовательностей;Применение выравнивания и ML для анализа ДНК и РНК цепочек.;4;Биоинформатика, Data Science, Machine Learning
8;Моделирование химических реакций с помощью нейросетей;Создание моделей, прогнозирующих продукты химических реакций.;3;Machine Learning, Data Science
9;Автоматическое распознавание речи и её синтез;Разработка систем распознавания речи и генерации звуковой речи.;4;NLP, Machine Learning, Backend
10;Оптимизация маршрутов доставки с учётом нагрузки;Построение алгоритмов оптимизации маршрутов доставки для курьерских систем.;5;Operations Research, Data Science, DevOps
11;Разработка чат-бота для поддержки клиентов;Создание диалогового агента для обработки запросов пользователей.;3;NLP, Backend, Frontend
12;Прогнозирование отказов оборудования;Моделирование вероятности поломок оборудования.;5;Machine Learning, Data Engineering, DevOps
13;Анализ временных рядов финансовых данных;Применение моделей ARIMA/LSTM для прогнозирования финансовых показателей.;4;Data Science, Machine Learning, QA
14;Разработка AR-приложения для обучения;Создание приложения дополненной реальности для визуализации учебных материалов.;3;Mobile, UI/UX, Frontend
15;Применение графовых нейронных сетей для анализа социальных сетей;Выявление сообществ и ключевых пользователей с помощью GNN.;4;ML, Data Science, Backend
16;Автоматизация тестирования веб-приложений;Создание системы автоматизированного тестирования веб-приложений.;3;QA, ML, Frontend
17;Система управления умным домом;Разработка модели для автоматизации управления бытовыми устройствами.;5;IoT, Data Science, Backend, DevOps
18;Генерация музыки с помощью нейросетей;Создание модели генерации музыкальных композиций.;3;Machine Learning, Creative AI, UI/UX
19;Прогнозирование качества воздуха;Моделирование загрязнения воздуха и прогнозирование качества.;4;ML, Environmental Science, Data Science
20;Диагностика заболеваний с использованием ML;Создание модели для диагностики заболеваний.;5;ML, Healthcare, Data Science, Биоинформатика
21;Распознавание жестов для человек-компьютерного интерфейса;Разработка системы распознавания жестов.;3;Computer Vision, Robotics, UI/UX
22;Визуализация и анализ биологических сетей генов;Построение сетей взаимодействия генов с визуализацией ключевых связей.;4;Биоинформатика, Data Science
23;Прогнозирование удержания пользователей мобильных приложений;Создание модели для оценки вероятности ухода пользователей.;3;Data Science, Mobile, Backend
24;Классификация жанров музыки с помощью глубоких сетей;Анализ аудио и классификация музыкальных жанров.;3;ML, Audio Processing, UI/UX
25;Разработка системы управления беспилотными дронами;Создание модели управления движением дронов.;5;Robotics, ML, Data Engineering
26;Применение ML для анализа спортивных данных;Анализ показателей спортсменов и прогноз результатов.;3;Data Science, ML, QA
27;Моделирование городского трафика;Прогнозирование загруженности дорог и оптимизация движения.;4;Data Science, ML, Backend
28;Применение блокчейн-технологий в цепочках поставок;Разработка системы отслеживания товаров.;3;Blockchain, Supply Chain, DevOps
29;Экономический анализ влияния технологий на рынок труда;Исследование влияния автоматизации и AI на занятость.;3;Economics, Data Science, Backend
30;Разработка голосового интерфейса умного дома;Создание голосового ассистента для управления устройствами.;4;NLP, IoT, Backend
31;Прогнозирование урожайности сельскохозяйственных культур;Моделирование урожайности по метео- и почвенным данным.;3;ML, Agritech, Data Science
32;Анализ генетических вариаций и заболеваний;Исследование связи генетических маркеров с заболеваниями.;4;Биоинформатика, Statistics, Data Science
33;Сжатие изображений с помощью автоэнкодеров;Разработка моделей автоэнкодеров.;3;ML, Computer Vision, Data Engineering
34;Разработка образовательного AR-приложения;Создание AR-приложения.;3;Education, Mobile, UI/UX
35;Прогнозирование климата с использованием нейронных сетей;Моделирование климатических паттернов.;4;ML, Environmental Science, Data Science
36;Разработка чат-бота для психологической помощи;Создание диалогового агента для поддержки пользователей.;3;NLP, AI for Good, Backend
37;Применение ML для диагностики производственных дефектов;Обнаружение брака на производстве.;5;ML, Data Engineering, QA
38;Прогнозирование потребления ресурсов домов;Моделирование расхода воды и электроэнергии.;3;Data Science, Sustainability, Backend
39;Анализ социальных сетей;Выявление ключевых пользователей и трендов.;4;Data Science, Social Network Analysis, ML
40;Автоматизация анализа медицинских текстов;Разработка модели для анализа клинических заметок.;3;NLP, Healthcare, Data Science
41;Разработка системы поддержки принятия решений в медицине;Создание рекомендательной системы для врачей.;4;ML, Healthcare, Data Science
42;Прогнозирование финансовых рисков;Анализ данных и построение моделей управления рисками.;3;Finance, ML, Data Science
43;Оптимизация распределения ресурсов в облачных системах;Распределение нагрузки на облачные машины.;4;DevOps, Optimization, Backend
44;Разработка системы детектирования вредоносного ПО;Классификация программ как безопасные/вредоносные.;3;Security, ML, Data Engineering
45;Автоматическое аннотирование текстов;Создание модели для автоматической разметки текста.;3;NLP, Machine Learning, Backend
46;Разработка VR-приложения;Создание VR-приложения.;5;GameDev, VR/AR, UI/UX
47;Прогнозирование ошибок оборудования;Моделирование вероятности поломок оборудования.;4;ML, Engineering, Data Engineering
48;Система распознавания лиц в режиме реального времени;Разработка модели распознавания лиц.;3;CV, Security, ML
49;Анализ данных криптовалют;Прогнозирование цен и трендов рынка.;3;Finance, Data Science, Backend
50;Визуализация и анализ геномных данных;Построение графов и анализ взаимодействий генов.;4;Биоинформатика, Data Science, ML
